Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
GS98873,Arizona,F,Bachelor,323912.47%,16061,88,1/0/00,Personal Auto,Four-Door Car,633.6
CW49887,California,F,Master,462680.11%,79487,114,1/0/00,Special Auto,SUV,547.2
MY31220,California,F,College,899704.02%,54230,112,1/0/00,Personal Auto,Two-Door Car,537.6
UH35128,Oregon,F,College,2580706.30%,71210,214,01/01/2000,Personal Auto,Luxury Car,1027.2
WH52799,Arizona,F,College,380812.21%,94903,94,1/0/00,Corporate Auto,Two-Door Car,451.2
WL99637,Arizona,M,Bachelor,761413.80%,27293,96,1/0/00,Personal Auto,Two-Door Car,469.030907
UC84059,California,F,Master,689845.53%,70950,171,1/0/00,Personal Auto,Sports Car,565.929394
HW62747,Oregon,M,College,229837.92%,0,63,1/0/00,Corporate Auto,Four-Door Car,302.4
BH11344,Oregon,F,Doctor,280669.61%,37009,71,1/0/00,Corporate Auto,Two-Door Car,145.673348
TX28465,Nevada,M,College,520611.82%,52629,65,1/0/00,Personal Auto,Four-Door Car,136.684141
OK56965,California,F,Bachelor,4570865.34%,31264,198,01/01/2000,Personal Auto,Luxury SUV,825.657746
WT22392,Oregon,F,College,800734.91%,65473,67,1/0/00,Personal Auto,Four-Door Car,277.685667
PH85036,Washington,F,Bachelors,548254.94%,79325,68,1/0/00,Corporate Auto,Four-Door Car,251.294821
KC71643,Oregon,M,High School or Below,246323.68%,99144,61,1/0/00,Corporate Auto,Four-Door Car,292.8
NR32615,California,M,College,549894.07%,22520,73,1/0/00,Corporate Auto,Four-Door Car,350.4
GS69842,Arizona,F,Bachelor,524382.80%,36615,65,1/0/00,Special Auto,Four-Door Car,264.563772
WT71621,Washington,F,Bachelors,328045.73%,63297,82,1/0/00,Personal Auto,Four-Door Car,251.756739
KD23847,Arizona,F,High School or Below,488654.43%,76374,61,1/0/00,Personal Auto,Four-Door Car,292.8
PE59368,Washington,F,Bachelors,512348.50%,72096,6464,1/0/00,Personal Auto,Two-Door Car,252.330905
NK91488,Nevada,M,Master,547955.51%,56005,68,01/01/2000,Personal Auto,Four-Door Car,326.4
